Name,Description,Image_url,Source_url,Category,Organization / Author,Coordinates or Map,Date,District,Impact Metric,Implementation Status,Province,Remark,Tags
MuvMi (ตุ๊กตุ๊กไฟฟ้า),บริการรถตุ๊กตุ๊กไฟฟ้าแบบ On-Demand ช่วยลดการปล่อยมลพิษจากการขนส่งในเมือง,https://files.wp.thaipbs.or.th/theactive/2022/04/DSC05080-1-1024x682.jpg,https://theactive.thaipbs.or.th/data/phatumwan-model-pm2-5,คมนาคม,"บริษัท เออร์เบิน โมบิลิตี้ เทค จำกัด (Urban Mobility Tech Co., Ltd.). บริษัทนี้เป็นสตาร์ทอัพสัญชาติไทย",,4/28/2022,,,ยังทำอยู่,กรุงเทพ,,
เซนเซอร์เตือนภัยไฟป่าแบบเรียลไทม์,นวัตกรรมเซนเซอร์สำหรับระบบเตือนภัยไฟป่าแบบเรียลไทม์ ช่วยให้รับมือสถานการณ์ได้รวดเร็วขึ้น,https://mpics.mgronline.com/pics/Images/566000011567002.JPEG,https://mpics.mgronline.com/pics/Images/566000011567002.JPEG,ป่าไม้,ศ.ดร.จัตตุฤทธิ์ ทองปรอน มหาวิทยาลัยเทคโนโลยีราชมงคล (มทร.)ล้านนา ,,12/20/2023,ดอยสะเก็ด,,กำลังทดลอง,เชียงใหม่,,
ให้ยืมเครื่องฟอกอากาศสำหรับกลุ่มเปราะบาง,ให้ยืมเครื่องฟอกอากาศกับกลุ่มติดบ้าน ติดเตียง และกลุ่มเปราะบาง และเป็นกลุ่มที่บ้านไม่มีกำลังซื้อ,https://www.thaipbs.or.th/thecitizen/wp-content/uploads/2024/03/S__37347345-1.jpg,https://www.thaipbs.or.th/thecitizen/index.html%3Fp=96405.html,เมือง/ข้ามแดน/อื่นๆ,14 พ.ย. 2567,,3/8/2024,สันทราย,,ยังทำอยู่,เชียงใหม่,,
FireD ,แอปพลิเคชันและระบบบริหารจัดการเชื้อเพลิงในที่โล่งเพื่อลดไฟป่าและหมอกควัน สามารถบันทึกข้อมูลชุมชน วางแผนการจัดการเชื้อเพลิง และพยากรณ์อากาศล่วงหน้า 3-5 วัน เพื่อช่วยในการตัดสินใจเวลาที่เหมาะสมในการกำจัดเชื้อเพลิง (เช่น การชิงเผา) ,https://i0.wp.com/greennews.agency/wp-content/uploads/2021/05/917f9a4f-f630-49e2-8793-c95c7080b466-1-scaled.jpg?resize=1536%2C820&ssl=1,https://greennews.agency/?p=23771,ป่าไม้,ผศ.ดร.ชาคริต โชติอมรศักดิ์ คณะสังคมศาสตร์ มหาวิทยาลัยเชียงใหม่ และศูนย์วิชาการเพื่อสนับสนุนการแก้ไขปัญหาหมอกควันภาคเหนือ มหาวิทยาลัยเชียงใหม่,,1/1/2021,"แม่แจ่ม, แม่ออน, จอมทอง, แม่วาง, เวียงแหง",,ยังทำอยู่,เชียงใหม่,,
หน้ากากนาโนป้องกัน PM2.5 ซักได้,นวัตกรรมหน้ากากซักได้/นาโนกรอง PM2.5 ประสิทธิภาพสูง ใช้งานซ้ำ ลดขยะ ต้นทุนเข้าถึงง่าย,https://today-obs.line-scdn.net/0hFDU6ORE8GWtoTzGLdLNmPFIZGgRbIwpoDHlIaDQhR18Rdlg9VHkFBUtORghMdl41BntTC0ROAloWLVw_XSEF/w1200,https://today.line.me/th/v3/article/vVwrnE,เมือง/ข้ามแดน/อื่นๆ,คณะวิศวกรรมศาสตร์ มช. ร่วมกับ สวทช.,,3/3/2020,,,เสร็จสิ้น,"กรุงเทพ, ลำปาง, เชียงใหม่",,
บ้านสู้ฝุ่น,"การดัดแปลงบ้าน (ติดฟิลเตอร์หน้าต่าง, เครื่องฟอกอากาศ) และกลุ่มจัดซื้ออุปกรณ์ปลอดฝุ่นในชุมชน",https://www.thaihealth.or.th/wp-content/uploads/2022/08/56179_thaihealth_bcdefgijox34.jpg,https://www.thaihealth.or.th/%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%AA%E0%B8%B9%E0%B9%89%E0%B8%9D%E0%B8%B8%E0%B9%88%E0%B8%99-2/,เมือง/ข้ามแดน/อื่นๆ,สภาลมหายใจ คือ การผนึกกำลัง ร่วมกับ สสส. และภาคีเครือข่าย,,1/1/2020,อำเภอเมือง,,กำลังทดลอง,เชียงใหม่,,
ธนาคารใบไม้,ชุมชนรวมใบไม้แห้งแทนการเผา เปลี่ยนเป็นปุ๋ยอินทรีย์ แจกจ่ายกลับสู่สมาชิก,https://i.ytimg.com/vi/5KMx0XHLjhY/maxresdefault.jpg,https://www.thaipbs.or.th/news/content/212194,"เกษตรกรรม, เมือง/ข้ามแดน/อื่นๆ",ชาวบ้านในชุมชน,,1/1/2008,ไชยปราการ,,ยังทำอยู่,เชียงใหม่,,
Plasma Air Tower,หอฟอกอากาศชุมชนด้วยเทคนิคพลาสมา ครอบคลุมพื้นที่ ~250 ม. ดักจับ PM2.5 ได้ 80%,https://www.electricityandindustry.com/wp-content/uploads/2023/04/DSC6962-e1681879848690.jpg,https://www.electricityandindustry.com/egat-pm2-5/,เมือง/ข้ามแดน/อื่นๆ,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,,4/19/2023,อำเภอบางกรวย,,ยังทำอยู่,นนทบุรี,,
Space–Sensor Synergy (ระบบวิเคราะห์ข้อมูล),ระบบบูรณาการข้อมูลจากเซนเซอร์ภาคพื้น-ดาวเทียม เพื่อวิเคราะห์แหล่งกำเนิดและวางนโยบาย,https://www.egat.co.th/home/en/wp-content/uploads/2025/02/S__227459096-2048x1546.jpg,https://www.egat.co.th/home/en/20250217e/?utm_source=chatgpt.com,ป่าไม้,"EGAT, GITSDA, PCD, จุฬาลงกรณ์มหาวิทยาลัย",,2/17/2025,,,ข้อเสนอ,ทั่วประเทศ,,
Smoke Watch (แอปแจ้งเตือนและเฝ้าระวังไฟป่า),แอปพลิเคชันแจ้งเตือนและเฝ้าระวังไฟป่าจากการเผาในที่โล่ง ช่วยบริหารจัดการกำลังเจ้าหน้าที่ที่มีอยู่อย่างจำกัด ให้สามารถเพิ่มประสิทธิภาพในการเข้าควบคุมไฟป่าอันเนื่องมาจากการเผาในภาคการเกษตร โดยระบบที่นำมาใช้เป็นการตรวจสอบจุดความร้อน หรือ Hotspot ผ่านดาวเทียม,https://mpics.mgronline.com/pics/Images/564000004338903.JPEG,https://mgronline.com/onlinesection/detail/9640000042314,ป่าไม้,ห้างหุ้นส่วนจำกัด เติมเต็มวิสาหกิจเพื่อสังคม ร่วมกับมหาวิทยาลัยเทคโนโลยีราชมงคลล้านนา และหน่วยงานท้องถิ่นจังหวัดเชียงราย ,,5/3/2021,,,กำลังทดลอง,เชียงราย,ครอบคลุมพื้นที่ป่าประมาณ 2 ล้านกว่าไร่,
Dr. Barrier,แอปพลิเคชันช่วยตัดสินใจชิงเผาใบไม้ในช่วงเริ่มผลัดใบเพื่อลดปัญหาไฟป่า,https://mpics.mgronline.com/pics/Images/564000004338904.JPEG,https://mgronline.com/onlinesection/detail/9640000042314,ป่าไม้,ห้างหุ้นส่วนจำกัด พีพีเค.ทรัพย์อุดม และมหาวิทยาลัยราชภัฏอุตรดิตถ์,,5/3/2021,อำเภอท่าปลา,,กำลังทดลอง,อุตรดิตถ์,ครอบคลุมพื้นที่ป่าประมาณ 100 ไร่ ,
เครื่องอัดวัสดุชีวมวลแบบเคลื่อนที่ได้,ลดปริมาณเชื้อเพลิงตั้งต้นของการเกิดไฟป่าและหมอกควัน ด้วยการเปลี่ยนใบไม้ให้เป็นชีวมวลอัดเม็ด ,https://mpics.mgronline.com/pics/Images/564000004338905.JPEG,https://mgronline.com/onlinesection/detail/9640000042314,เกษตรกรรม,เครือข่ายธุรกิจบิสคลับพะเยาร่วมกับกลุ่มผู้นำชุมชนในพื้นที่,,5/3/2021,อำเภอเมือง,,กำลังทดลอง,พะเยา,ครอบคลุมพื้นที่ป่าชุมชนจำนวน 500 ไร่,
เพราะ “เห็ดเผาะ” เพาะได้ ไม่ต้องเผา, ความเชื่อ “ ต้องเผาป่า… เห็ดเผาะถึงจะออก” ผลที่ตามมา ไฟไหม้ป่า เกิดหมอกควันที่เป็นมลพิษ และ PM2.5 และการสูญเสียความหลากหลายทางชีวภาพ ทำให้เห็ดเผาะตกเป็นจำเลยสังคม โดยเฉพาะอย่างยิ่งการถูกกล่าวหาว่าเป็นสาเหตุของการเผาป่าและปัญหาฝุ่นควันที่เป็นมลพิษ จากปัญหาดังกล่าว “การเพาะเลี้ยงเห็ดเผาะ” จึงเป็นทางเลือกหนึ่งให้กับเกษตรกรบนพื้นที่สูง ได้สร้างอาชีพ และมีรายได้ รวมทั้งช่วยรักษาสิ่งแวดล้อม ดังนั้น จึงมีการทดสอบการเพาะเลี้ยงเห็ดเผาะในสภาพธรรมชาติร่วมกับชุมชน,https://hkm.hrdi.or.th//upload/images/U-1688028616.jpg,https://localsthaipbs.net/hygroscopicearthstar/,ป่าไม้, ดร.จารุณี ภิลุมวงค์ นักวิจัย และ นางสาวพัชรินทร์ พงษ์ชัยภูมิ เจ้าหน้าที่โครงการฯ,,3/25/2025,,,กำลังทดลอง,"กาญจนบุรี, น่าน, เชียงราย, เชียงใหม่",,"ภาคเหนือ, เห็ดเพาะ, ไฟป่า"
